date,total_minutes,productivity_finance_minutes,source,notes
2026-08-01,27,4,Apple Screen Time Mac screenshot,""
2026-08-02,529,205,Apple Screen Time Mac screenshot,""
2026-08-03,314,76,Apple Screen Time Mac screenshot,""
2026-08-04,264,58,Apple Screen Time Mac screenshot,""
2026-08-05,426,110,Apple Screen Time Mac screenshot,""
2026-08-06,277,88,Apple Screen Time Mac screenshot,""
2026-08-07,0,0,Apple Screen Time Mac screenshot,"zero may reflect no use or missing Screen Time capture"
2026-08-08,0,0,Apple Screen Time Mac screenshot,"zero may reflect no use or missing Screen Time capture"
2026-08-09,127,22,Apple Screen Time Mac screenshot,""
2026-08-10,0,0,Apple Screen Time Mac screenshot,"zero may reflect no use or missing Screen Time capture"
2026-08-11,285,57,Apple Screen Time Mac screenshot,""
2026-08-12,383,69,Apple Screen Time Mac screenshot,""
2026-08-13,276,86,Apple Screen Time Mac screenshot,""
2026-08-14,676,205,Apple Screen Time Mac screenshot,""
2026-08-15,694,332,Apple Screen Time Mac screenshot,""
2026-08-16,144,19,Apple Screen Time Mac screenshot,""
2026-08-17,811,388,Apple Screen Time Mac screenshot,""
2026-08-18,682,212,Apple Screen Time Mac screenshot,""
2026-08-19,684,282,Apple Screen Time Mac screenshot,""
2026-08-20,460,122,Apple Screen Time Mac screenshot,""
2026-08-21,305,45,Apple Screen Time Mac screenshot,""
2026-08-22,794,410,Apple Screen Time Mac screenshot,""
2026-08-23,213,153,Apple Screen Time Mac screenshot,""
2026-08-24,274,205,Apple Screen Time Mac screenshot,""
2026-08-25,488,243,Apple Screen Time Mac screenshot,""
2026-08-26,317,219,Apple Screen Time Mac screenshot,""
2026-08-27,297,190,Apple Screen Time Mac screenshot,""
2026-08-28,398,212,Apple Screen Time Mac screenshot,""
2026-08-29,304,231,Apple Screen Time Mac screenshot,""
2026-08-30,325,235,Apple Screen Time Mac screenshot,""
2026-08-31,57,39,Apple Screen Time Mac screenshot,"partial day; captured ~04:09 local"
