evidence_id,date_or_range,device,evidence_type,original_filename,public_status,notes
MAC-01,2026-08-01,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.14.31.png",pending-redaction,"Apple Screen Time daily view"
MAC-02,2026-08-02,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.14.13.png",pending-redaction,"Apple Screen Time daily view"
MAC-03,2026-08-03,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.14.07.png",pending-redaction,"Apple Screen Time daily view"
MAC-04,2026-08-04,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.14.01.png",pending-redaction,"Apple Screen Time daily view"
MAC-05,2026-08-05,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.13.55.png",pending-redaction,"Apple Screen Time daily view"
MAC-06,2026-08-06,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.13.48.png",pending-redaction,"Apple Screen Time daily view"
MAC-07,2026-08-07,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.13.35.png",pending-redaction,"Apple Screen Time daily view"
MAC-08,2026-08-08,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.13.28.png",pending-redaction,"Apple Screen Time daily view"
MAC-09,2026-08-09,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.13.21.png",pending-redaction,"Apple Screen Time daily view"
MAC-10,2026-08-10,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.13.14.png",pending-redaction,"Apple Screen Time daily view"
MAC-11,2026-08-11,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.13.07.png",pending-redaction,"Apple Screen Time daily view"
MAC-12,2026-08-12,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.13.00.png",pending-redaction,"Apple Screen Time daily view"
MAC-13,2026-08-13,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.12.52(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-14,2026-08-14,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.12.44(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-15,2026-08-15,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.12.36(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-16,2026-08-16,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.12.28(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-17,2026-08-17,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.12.20(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-18,2026-08-18,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.12.13(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-19,2026-08-19,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.12.04(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-20,2026-08-20,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.11.56(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-21,2026-08-21,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.11.46(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-22,2026-08-22,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.11.34(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-23,2026-08-23,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.11.22(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-24,2026-08-24,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.11.14(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-25,2026-08-25,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.11.03(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-26,2026-08-26,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.10.56(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-27,2026-08-27,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.10.47(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-28,2026-08-28,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.10.34(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-29,2026-08-29,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.10.24(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-30,2026-08-30,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.10.10(1).png",pending-redaction,"Apple Screen Time daily view"
MAC-31,2026-08-31,MacBook,screen_time_daily,"Screenshot 2026-08-31 at 04.09.30(1).png",pending-redaction,"partial-day Apple Screen Time daily view"
MAC-WEEK,2026-08-31,MacBook,screen_time_week_summary,"Screenshot 2026-08-31 at 04.09.54(1).png",pending-redaction,"week summary view"
