device,canonical_filename,original_filename,sha256,bytes,release_status,privacy_review
mac,2026-08-31-daily-partial.png,Screenshot 2026-08-31 at 04.09.30(1).png,954323fb9ea9625b49183bb3ba8990e2cec5230440ba9cd8e4339f2ce8baf4bd,62132,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-31-week-summary.png,Screenshot 2026-08-31 at 04.09.54(1).png,05997ed7cbc55e80f798ab8380d581bdc59a7e4f272198b44e1e2f937d847c2e,59589,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-30-daily.png,Screenshot 2026-08-31 at 04.10.10(1).png,f9c4153610ad5d23bc0f025371beab767b14b468f3dea2b8dc3d0dab60028a62,92235,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-29-daily.png,Screenshot 2026-08-31 at 04.10.24(1).png,ae578f652ae949b20bdaa11ce92403aa442c12066960b6c87415f46aead5b24c,85473,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-28-daily.png,Screenshot 2026-08-31 at 04.10.34(1).png,9497b1e7be3f72acd2f2f9e77a031d9aa3ffcbf2c2e4f22c232e63cef5ecc704,88423,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-27-daily.png,Screenshot 2026-08-31 at 04.10.47(1).png,52b54eec99586b062ead6b32d3f18f8e64c36810258f5fc997686c8e5fc1df0b,87562,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-26-daily.png,Screenshot 2026-08-31 at 04.10.56(1).png,bd060804b378ca884dc3acff32eca5a540a9c6657cb049aaadb0671e90fb5424,87612,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-25-daily.png,Screenshot 2026-08-31 at 04.11.03(1).png,e4a2a75c0c4ba4d3bdb9264d90b023f0b7f013548036abfd886496ae4364c261,87061,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-24-daily.png,Screenshot 2026-08-31 at 04.11.14(1).png,3a3111d8d5186ebd7f6ae1d5f569c8f836df0887f30c41a84e548d7c07c9e1b6,86730,public-original,visual review: no unrelated sensitive identifiers observed
mac,2026-08-23-daily.png,Screenshot 2026-08-31 at 04.11.22(1).png,bb6a0a2de2ac6abe87c751c766947ffe9505eca278e76ebe983a293ec95883ac,93127,public-original,visual review: no unrelated sensitive identifiers observed
